"subtitle.id","subtitle","n.excl","n.interr","n.neg","n.afirm","joy","anger","anticipation","disgust","fear","sadness","surprise","trust","negative","positive","start","end","n.coincidencias"
176," ¿Y la hay? ",0,1,0,0,0.02,0.03,0.12,0.01,0.04,0.03,0.9,0.02,0.03,0.01,914.837,915.937,0
178," ¿Por qué no lo dijiste antes? ",0,1,1,0,0,0,1.0925,0,0,0,0,0,1.1,0,918.267,920.147,1
179," ¿Por qué te callaste
con esa cara de asco? ",0,1,0,0,0,0.9,0,0.95,1,0.9,0,0,1,0,920.647,923.277,1
180," Si esto sale bien, ",0,0,0,0,0,0,1,0,0,1,0,0,0,1,924.127,925.817,1
181," es posible que puedas matar
al titán bestia. ",0,0,0,0,0,2,0,0,2,1,0,0,2,0,926.247,929.617,2
182," Sacrificando mi vida
y la de los reclutas. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,930.147,934.217,0
183," Tienes razón. ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,939.507,941.147,1
184," De todos modos,
la mayoría moriremos aquí. ",0,0,0,0,1,0,0,0,1,1,0,1,1,1,941.857,944.617,2
185," Es mucho más probable que muramos todos. ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,945.987,949.857,0
186," Debemos apostar por la victoria
del modo que sea necesario. ",0,0,0,0,1,0,1,0,0,0,0,1,1,1,950.857,956.017,2
187," Para eso tendré que pedirles
a esos jóvenes que mueran. ",0,0,0,0,0,1,1,0,1,1,0,0,2,0,957.707,961.617,2
188," Tendré que inventar una buena excusa,
como un estafador. ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,962.057,966.037,1
189," Si no voy en cabeza, nadie me seguirá. ",0,0,1,0,0,0,1.9,0,0,0,0,0.95,1.1,0.95,966.857,970.967,2
190," Seré el primero en morir. ",0,0,0,0,0,0,0,0,1,1,0,0,1,0,971.527,973.707,1
191," Sin saber qué hay en el sótano. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,974.327,978.837,0
192," Quiero ir a ese sótano. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,988.437,992.217,0
193," Llegué hasta aquí
pensando en que llegaría este día. ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,993.417,998.657,1
194," En que un día
podría comprobar la respuesta. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.877,1003.567,0
195," Muchas veces pensé
que sería mejor morir. ",0,0,0,0,0,0,0,0,1,1,0,0,1,0,1005.077,1009.107,1
196," Pero el sueño de mi padre
y el mío me venía a la mente. ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1009.677,1014.407,1
197," Ahora la respuesta
está al alcance de mi mano. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.057,1020.237,0
198," Está justo ahí. ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1023.167,1025.257,1
199," Pero, Levi, ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028.587,1030.107,0
200," ¿puedes ver a nuestros compañeros? ",0,1,0,0,0.95,0,0,0,0,0,0,0.95,0,1,1031.927,1034.877,1
201," Ellos nos observan. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038.787,1041.147,0
202," Quieren saber qué pasó
con los corazones que entregaron. ",0,0,0,0,1,0,0,0,0,0,0,1,0,1,1041.667,1045.027,1
203," Porque la batalla aún no terminó. ",0,0,1,0,0,0.95,0.95,0,0,0.95,0,0,2.2,0,1045.837,1048.367,3
204," Quizás todo sea
una ilusión infantil en mi cabeza. ",0,0,0,0,0,1,0,1,0,0,0,0,1,0,1055.567,1060.997,1
205," Peleaste con valor. ",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1066.967,1069.167,1
206," Gracias a ti llegamos hasta aquí. ",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1069.907,1073.257,2
